id,附加费,币种,20底,40底,40HQ底,单票,付款方式
72384,TLX,CNY,,,,350.0,PREPAID
72384,LSS,USD,20,40,40,,PREPAID
167407,THC,CNY,646,997,997,,PREPAID
72384,THC,CNY,620,930,930,,PREPAID
167407,TLX,CNY,,,,450.0,PREPAID
167407,DOC,CNY,,,,500.0,PREPAID
167407,SEAL,CNY,30,30,30,,PREPAID
167407,EIR,CNY,40,40,40,,PREPAID
167407,AFR,USD,30,30,30,,PREPAID
72371,EIR,CNY,20,20,20,,PREPAID
167407,LSS,USD,15,30,30,,PREPAID
72371,SEAL,CNY,85,85,85,,PREPAID
72371,DOC,CNY,,,,450.0,PREPAID
72371,TLX,CNY,,,,350.0,PREPAID
167406,THC,CNY,646,997,997,,PREPAID
72354,EIR,CNY,20,20,20,,PREPAID
72371,LSS,USD,20,40,40,,PREPAID
167406,TLX,CNY,,,,450.0,PREPAID
72354,SEAL,CNY,85,85,85,,PREPAID
133480,THC,CNY,646,997,997,,PREPAID
72371,THC,CNY,620,930,930,,PREPAID
72354,DOC,CNY,,,,450.0,PREPAID
167406,DOC,CNY,,,,500.0,PREPAID
72354,TLX,CNY,,,,350.0,PREPAID
133480,DOC,CNY,,,,500.0,PREPAID
167406,SEAL,CNY,30,30,30,,PREPAID
72354,LSS,USD,20,40,40,,PREPAID

167406,EIR,CNY,40,40,40,,PREPAID
133480,EIR,CNY,40,40,40,,PREPAID

167406,AFR,USD,30,30,30,,PREPAID
133480,AFR,USD,30,30,30,,PREPAID
167406,LSS,USD,15,30,30,,PREPAID
133480,LSS,USD,15,30,30,,PREPAID
179968,THC,CNY,890,1365,1365,,PREPAID
167405,THC,CNY,646,997,997,,PREPAID
133479,THC,CNY,646,997,997,,PREPAID
167405,TLX,CNY,,,,450.0,PREPAID
133479,TLX,CNY,,,,450.0,PREPAID

167405,DOC,CNY,,,,500.0,PREPAID
133479,DOC,CNY,,,,500.0,PREPAID
167405,SEAL,CNY,30,30,30,,PREPAID
133479,SEAL,CNY,30,30,30,,PREPAID
167405,EIR,CNY,40,40,40,,PREPAID
179968,LSS,USD,16,32,32,,PREPAID
167405,AFR,USD,30,30,30,,PREPAID
167405,LSS,USD,15,30,30,,PREPAID
133479,AFR,USD,30,30,30,,PREPAID
133479,LSS,USD,15,30,30,,PREPAID
179953,THC,CNY,890,1365,1365,,PREPAID
167404,THC,CNY,646,997,997,,PREPAID
167404,TLX,CNY,,,,450.0,PREPAID
179953,DOC,CNY,,,,450.0,PREPAID
167404,DOC,CNY,,,,500.0,PREPAID
ID
133478,TLX,CNY,,,,450.0,PREPAID
179953,SEAL,CNY,30,30,30,,PREPAID
133478,DOC,CNY,,,,500.0,PREPAID

167404,EIR,CNY,40,40,40,,PREPAID
