id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
201310,XIAMEN,"Savannah,GA",OOCL,Goergia,USEC,ECX1,33,6/1,,YUANHAI,1948,2435,2435,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200244,XIAMEN,"Savannah,GA",COSCON,Goergia,USEC,AWE3,32,3/5,,YUANHAI,2100,2600,2600,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200305,XIAMEN,"Savannah,GA",COSCON,Goergia,USEC,AWE4,33,6/1,,YUANHAI,2100,2600,2600,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
219516,XIAMEN,"Savannah,GA",HSD,GCT,USEC,ASUS SLING 3,33,6/2,,HAIRUN,2593,2607,2607,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
199990,XIAMEN,"Savannah,GA",APL,Goergia,USEC,AW2,33,6/1,,YUANHAI,2100,2610,2610,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200046,XIAMEN,"Savannah,GA",APL,Goergia,USEC,AW5,31,2/5,,YUANHAI,2100,2610,2610,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
199499,XIAMEN,"Savannah,GA",YML,GARDEN,USEC,EC3,30,4/6,,GUOJIHUOGUI,2250,2810,2810,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199554,XIAMEN,"Savannah,GA",YML,GCT,USEC,EC4,42,3/5,Hong Kong,HAIRUN,2250,2810,2810,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199377,XIAMEN,"Savannah,GA",MSK,GCT,USEC,TP16,33,6/2,,HAIRUN,2302,2885,2885,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
201292,XIAMEN,"Seattle,WA",OOCL,SSA,USNW,PNW2,17,2/4,,YUANHAI,1060,1325,1325,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
219513,XIAMEN,"Seattle,WA",HSD,SSA TERMINALS,USNW,UPAS SLING 4,24,6/1,,SONGYU,1103,1357,1357,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
199987,XIAMEN,"Seattle,WA",APL,SSA,USNW,WAX,17,2/4,,YUANHAI,1132,1397,1397,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200241,XIAMEN,"Seattle,WA",COSCON,SSA,USNW,MPNW,17,2/4,,YUANHAI,1170,1440,1440,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
